categories,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64
"['Cultural_depictions_of_military_officers', 'Films_set_in_the_1890s', 'Cultural_depictions_of_Émile_Zola']",0.471447,0.0,0.6356701,0.17997454,0.45828068,0.023686975,0.05466815,0.048867144,0.0,0.0,0.42612442,0.08323281,0.038487926,0.0,0.0,0.24819696,0.0,0.0056207282,0.41065273,0.4086282,0.0,0.0019269739,0.0,0.23796593,0.074919954,0.60034776,0.35101497,0.0,0.051429622,0.0,0.03015194,0.037182033,0.0,0.0,0.3561626,0.014474927,0.0,0.0,0.47231692,0.0,0.06824914,0.3211813,0.56695247,0.0,0.081531726,0.0,0.049735464,0.20892836,0.20495397,0.51388186,0.0,0.30519196,0.031278465,0.7432595,0.61880153,0.0,0.014627274,0.0,0.0713156,0.76487994,0.8510829,0.23947908,0.5285837,0.0
"['Films_by_country', 'Films_set_in_Cleveland']",0.4431276,0.0,0.45102257,0.29848325,0.4322599,0.0,0.30200198,0.22586615,0.0,0.25217417,0.45002913,0.45740741,0.10288782,0.0,0.0,0.0,0.39186525,0.0,0.2566061,0.0,0.0,0.34427634,0.32003093,0.0,0.07550577,0.56878144,0.2039111,0.14358208,0.0,0.0,0.3295007,0.25802758,0.0,0.0,0.34331614,0.28824922,0.0,0.0,0.1256849,0.0,0.36470068,0.088733144,0.3812984,0.0,0.0,0.0,0.49353212,0.27987772,0.4332323,0.25109848,0.3630864,0.0,0.37822622,0.4611427,0.6575805,0.59648496,0.0,0.24627076,0.0,0.69483745,0.041541062,0.18681653,0.3412333,0.265824
['2004_psychological_thriller_films'],0.14483859,0.26643512,0.3456607,0.0,0.0,0.20399949,0.0,0.09797123,0.30442005,0.0,0.425155,0.0,0.3730905,0.21173307,0.25396216,0.5554936,0.0,0.2084432,0.31775317,1.2538619,0.10530446,0.0,0.0,0.8738865,0.2793847,0.16214344,0.11112236,0.0,0.0632733,0.1884894,0.0,0.0,0.0,0.15722403,0.3517099,0.0,0.34244597,0.082604475,0.9757785,0.24770583,0.0,0.13099529,0.0,0.2866409,0.1044054,0.31814295,0.0,0.30919513,0.0,0.42858437,0.0,0.42198676,0.0,0.25585303,0.43399298,0.0,0.24002202,0.0,0.84002656,0.109140776,1.0013975,0.24878302,0.5287769,0.0
['West_German_films'],0.59875405,0.0,0.29515752,0.28632858,0.6891178,0.0,0.36027187,0.37134218,0.0,0.24469177,0.7105111,0.38331148,0.21540178,0.0,0.0,0.0,0.49647728,0.0,0.45742074,0.10357467,0.0,0.5104022,0.45465755,0.03915979,0.23354593,0.7803035,0.26245582,0.09322153,0.0,0.0,0.32837203,0.3493338,0.0,0.0,0.6264713,0.43602315,0.0,0.0,0.2385354,0.0,0.55332786,0.20004201,0.5311487,0.0,0.0,0.0,0.4730828,0.41753313,0.5773165,0.40388906,0.508817,0.0,0.41643137,0.7418161,0.8185696,0.5919314,0.0,0.36169195,0.0,1.0006428,0.2638909,0.0,0.23079711,0.36129716
['2003_documentary_films'],0.72069937,0.0,0.19545601,0.37424213,0.6946566,0.0,0.6197182,0.6220028,0.0,0.5343399,0.8478018,0.68551654,0.3632421,0.0,0.0,0.0,0.9953208,0.0,0.40659767,0.0,0.0,0.7687678,0.7760668,0.0,0.2739502,0.7880171,0.11555733,0.29576814,0.0,0.0,0.62703437,0.4870121,0.0,0.0,0.699493,0.71669775,0.0,0.009819613,0.03586355,0.0,0.75811666,0.0,0.42761704,0.0,0.0,0.0,0.9278274,0.55216604,0.8512625,0.23445418,0.8188368,0.0,0.69278955,0.57804024,1.0050468,1.2430314,0.0,0.66266227,0.0,1.083896,0.0,0.0,0.20315805,0.61716926
['Films_set_in_the_Bronx'],0.32677284,0.15919693,0.45028302,0.0,0.13737936,0.18059754,0.0,0.0,0.19526862,0.0,0.401409,0.0,0.23372689,0.21377802,0.086713135,0.46258017,0.0,0.23324586,0.3811915,0.8090481,0.0876299,0.0,0.0,0.55580324,0.23055312,0.34079322,0.23221396,0.0,0.2570208,0.1058404,0.0,0.0,0.0,0.17868306,0.33296698,0.0,0.321488,0.0,0.5899053,0.071734644,0.0,0.4289004,0.30398673,0.24283963,0.27085865,0.1043173,0.0,0.091844216,0.0,0.3759321,0.0,0.4785855,0.0,0.44590107,0.4404314,0.0,0.18390685,0.0,0.2325794,0.34140104,0.95886517,0.21993674,0.45581293,0.0
"['Texas_in_fiction', 'English-language_films']",0.0,0.17614438,0.10341128,0.0,0.0,0.186846,0.0,0.07159488,0.20029132,0.0,0.14472328,0.0,0.1586928,0.12993038,0.26243612,0.36802807,0.0,0.17146991,0.13410005,0.97801113,0.15213034,0.0,0.0,0.66662514,0.12760308,0.0,0.0831956,0.0,0.0,0.20663609,0.0,0.0,0.0,0.086348906,0.17233866,0.0,0.15605967,0.0,0.73221374,0.20917454,0.0,0.0,0.0,0.17524144,0.0,0.31496748,0.0,0.16528317,0.0,0.2552654,0.0,0.27827454,0.0,0.018517444,0.10131069,0.0,0.15347749,0.0,0.84158194,0.0,0.70299125,0.18430464,0.4429076,0.0
"['Films_about_bullying', 'Japanese_musical_fantasy_films', 'Films_about_child_abuse', 'Films_about_social_media']",0.3778449,0.035246857,0.5575584,0.046088595,0.3063704,0.047924068,0.0,0.037205935,0.006675465,0.0,0.458905,0.0,0.17117327,0.0,0.008818329,0.3910525,0.0,0.08292149,0.45794627,0.7817521,0.0091334395,0.0,0.0,0.49050376,0.104629435,0.47225952,0.31568444,0.0,0.10266959,0.021981139,0.0,0.0,0.0,0.06728245,0.39202034,0.0,0.10592906,0.0,0.5662837,0.011083911,0.0,0.35401616,0.47539505,0.08040246,0.119593635,0.0,0.0,0.21873286,0.10640862,0.4879734,0.0,0.41144255,0.0,0.6835273,0.56981707,0.0,0.06822256,0.0,0.3182024,0.62752026,1.0564331,0.20933759,0.5531641,0.0
['1980s_crime_thriller_films'],0.24377427,0.25305286,0.49058896,0.0,0.024540082,0.26572,0.0,0.0,0.2711141,0.0,0.31694975,0.0,0.24039117,0.310924,0.16327876,0.54440564,0.0,0.34655625,0.3162533,0.879367,0.12960392,0.0,0.0,0.57746655,0.19509701,0.2521695,0.19085133,0.0,0.32639062,0.17339073,0.0,0.0,0.0,0.24317282,0.28016266,0.0,0.4360294,0.0,0.6196495,0.14763732,0.0,0.3833356,0.21521786,0.34695292,0.36837766,0.2496445,0.0,0.047599047,0.0,0.31115466,0.0,0.5833434,0.0,0.348547,0.36110428,0.0,0.27414078,0.0,0.3048368,0.22162063,1.0248594,0.2983672,0.5026963,0.0
"['American_screwball_comedy_films', 'Films_based_on_works_by_Jack_Finney', 'Films_scored_by_Frank_De_Vol']",0.25626117,0.24164358,0.33411977,0.0,0.0,0.26656568,0.0,0.1453696,0.37496784,0.0,0.42964068,0.0,0.3960168,0.2781235,0.29034775,0.6499446,0.0,0.17377514,0.29303673,1.3176874,0.12818612,0.0,0.0,0.89321506,0.34593874,0.18144639,0.1514864,0.0,0.026869481,0.23360474,0.0,0.0,0.0,0.12072903,0.34251165,0.0,0.3361303,0.08859265,1.1187459,0.26238963,0.0,0.062660635,0.0,0.20767088,0.122250244,0.37392557,0.0,0.24815413,0.0,0.4230268,0.0,0.42435613,0.0,0.22332266,0.43163824,0.0,0.2437773,0.0,0.92213255,0.07401757,1.0616984,0.27690384,0.54575443,0.0
['Films_directed_by_J._Lee_Thompson'],0.34520087,0.153818,0.08705376,0.0,0.0,0.12503134,0.0,0.2922895,0.27984667,0.0,0.4712054,0.0,0.46827564,0.26714835,0.35001957,0.560031,0.0,0.077045955,0.24245892,1.3987975,0.06651438,0.0,0.0,1.0137492,0.5221417,0.080206886,0.050950244,0.0,0.0,0.19908273,0.0,0.0,0.0,0.051314086,0.45389283,0.0,0.27853194,0.19311766,1.3419592,0.35870755,0.0,0.0,0.0,0.035651308,0.0,0.35993502,0.0,0.34964857,0.0,0.46870622,0.0,0.20163782,0.0,0.04105057,0.47838643,0.0,0.18211654,0.0,1.0736756,0.0,0.94658566,0.21486709,0.4433788,0.0
"['Canadian_supernatural_horror_films', 'Gothic_horror_films', 'Mystery_horror_films', 'Canadian_teen_films', '2011_horror_films', 'Films_scored_by_Canadian_composers']",0.45039827,0.0,0.7073185,0.17123792,0.42819947,0.06933804,0.004314295,0.004753966,0.0,0.0,0.3642798,0.046464816,0.029545113,0.0,0.009607996,0.3637982,0.0,0.090130664,0.40162897,0.5459683,0.0,0.0,0.0,0.31291804,0.02447332,0.54111123,0.3636665,0.0,0.09977899,0.0,0.0,0.0,0.0,0.019477962,0.3282411,0.0,0.027348839,0.0,0.52244884,0.0,0.0,0.29652774,0.5846295,0.0,0.16502771,0.0,0.055828128,0.16977553,0.11707778,0.47604826,0.0,0.45715943,0.0,0.77888906,0.60775685,0.0,0.07565056,0.0,0.1944327,0.7911448,1.1160852,0.31466776,0.6030263,0.0
